en_tok,de_tok
you must have a reason for telling me .,"du musst doch einen grund haben , mir das zu erzählen ."
do you know how deep the water is here ?,"weißt du , wie tief das wasser hier ist ?"
we ' ll have to do it even if we don ' t want to .,"wir müssen es tun , ob wir wollen oder nicht ."
she was beautiful when she was young .,als junge frau war sie eine schönheit .
have you told your parents yet ?,habt ihr euren eltern schon davon erzählt ?
you can ' t make an omelette without breaking eggs .,"man kann keinen eierkuchen backen , ohne ein paar eier zu zerschlagen ."
let ' s have dinner .,lass uns zu abend essen .
"i ' ve tried to get along with tom , but it ' s impossible .","ich habe versucht , mit tom auszukommen , aber es ist unmöglich ."
there ' s a possibility tom won ' t go to australia with us .,tom kommt vielleicht nicht mit nach australien .
he was given up for dead .,er wurde für tot erklärt .
maybe we ' ll meet there .,vielleicht treffen wir uns dort .
i ' m really confused right now .,jetzt bin ich wirklich durcheinander .
what is the primary diet of a panda ?,wovon ernährt sich ein panda vorwiegend ?
you will see the difference .,ihr werdet den unterschied sehen .
that ' s one question i can ' t answer .,"das ist eine frage , die ich nicht beantworten kann ."
i wouldn ' t say it that way .,so würde ich das nicht sagen .
tom ate the last piece of cake .,tom aß das letzte stück kuchen .
that chicken hasn ' t laid any eggs lately .,das huhn legt in letzter zeit keine eier .
tom is a talented hockey player .,tom ist ein talentierter hockeyspieler .
what ' s that in your bag ?,was ist das für ein ding da in ihrer tasche ?
the beauty is beyond description .,die schönheit ist unbeschreiblich .
we ' ve been waiting here for hours .,wir warten hier schon seit stunden .
i know that you won ' t do it .,"ich weiß , daß du das nicht tun wirst ."
i want to buy them all .,ich will alle kaufen .
what you did made tom happy .,ihr habt tom damit glücklich gemacht .
you ' re driving too fast .,du fährst zu schnell .
i would never say anything like that .,so etwas würde ich nie sagen .
tom and mary went canoeing .,tom und maria gingen rudern .
we ' re all in the same situation .,wir sind alle in der gleichen lage .
i just want to be perfect .,ich will einfach nur perfekt sein .
the lemon is sour .,die zitrone ist sauer .
who invented this ?,wer hat das erfunden ?
"the boy spilled the ink , but he didn ' t mean to .","der junge verschüttete die tinte , aber er tat es nicht absichtlich ."
your determination is admirable .,deine entschlossenheit ist bewunderungswürdig .
i assume you ' re angry .,"ich nehme an , du bist wütend ."
tom has some very nice furniture .,tom hat sehr schöne möbel .
tom is no hero .,tom ist kein held .
friendship requires mutual trust .,freundschaft erfordert gegenseitiges vertrauen .
that is all that he said .,"das ist alles , was er sagte ."
i bought a glass vase .,ich habe eine glasvase gekauft .
i ' m sure tom is waiting for you .,tom wartet bestimmt auf euch .
i tried to find work .,"ich habe versucht , arbeit zu finden ."
i wonder if tom will recognize me after so many years .,ob tom mich nach so vielen jahren wohl wiedererkennen wird ?
tom freed himself .,tom befreite sich .
everyone believed you .,jeder hat ihnen geglaubt .
does tom already have a job ?,hat tom schon eine arbeitsstelle ?
you should have that cleaned .,du solltest das reinigen lassen .
i ' ll pay you next week .,ich bezahle sie nächste woche .
hand that hammer to me .,gib mir mal den hammer !
we ' ll have to act fast .,wir werden schnell handeln müssen .
tom decided not to play dodge ball because he wasn ' t feeling well .,"tom hat sich entschieden , kein völkerball zu spielen , weil es ihm nicht gut ging ."
they don ' t have to pay anything .,sie brauchen nichts zu zahlen .
i can ' t do all of this without help .,ohne hilfe schaffe ich das alles nicht .
i didn ' t hear you .,ich habe sie nicht gehört .
when did you find out ?,wann haben sie es herausbekommen ?
i gave one cookie to each kid .,ich gab jedem kind einen keks .
are you sorry ?,tut es ihnen leid ?
tom could probably help us with this .,tom könnte uns vermutlich dabei helfen .
the children are riding the merry - go - round .,die kinder fahren karussell .
tom isn ' t much older than i am .,tom ist nicht viel älter als ich .
all you have to do is follow his advice .,"alles , was ihr tun müsst , ist , seinem rat zu folgen ."
it ' s unbearably hot .,es ist unerträglich heiß .
you have to be more patient .,du mußt geduldiger sein .
tom needed assistance .,tom brauchte unterstützung .
tom has no idea what to do .,"tom hat keine ahnung , was er tun soll ."
we must do that again .,das müssen wir wieder tun .
we have to conclude that the policy is a failure .,"wir müssen den schluss ziehen , dass die strategie ein fehler ist ."
she is a total stranger to me .,sie ist mir wildfremd .
where did you take your earrings off ?,wo haben sie ihre ohrringe abgenommen ?
i feel like talking a walk .,ich hätte lust auf einen spaziergang .
i ' m beginning to miss my girlfriend .,"ich beginne , meine freundin zu vermissen ."
would you rather be tossed in jail ?,möchten sie lieber ins gefängnis geworfen werden ?
i think we should stay and fight .,"ich finde , wir sollten bleiben und kämpfen ."
i knew tom had one .,"ich wußte , daß tom eine hat ."
i knew that that was what you wanted .,"ich wußte , daß es das war , was sie wollten ."
she is almost as tall as you are .,sie ist fast so groß wie sie .
wait for us there .,warte dort auf uns !
she tore a hole in her dress .,sie riss ein loch in ihr kleid .
i don ' t want to read this book .,ich will dieses buch nicht lesen .
how did you get so good at french ?,wie bist du nur so gut in französisch geworden ?
tom put the bowl of popcorn on the table .,tom stellte die schüssel popcorn auf den tisch .
did you break any eggs ?,sind euch eier kaputtgegangen ?
i guess you won ' t be eating with us .,"du wirst wohl nicht bei uns essen , nehme ich an ."
we ' re trying to find some answers .,"wir versuchen , einige antworten zu finden ."
she passed away yesterday afternoon .,sie hat gestern nachmittag das zeitliche gesegnet .
my parents didn ' t suspect anything .,meine eltern haben keinen verdacht geschöpft .
tom is right behind mary .,tom ist gleich hinter maria .
tom wants me to stay for a couple of days .,"tom möchte , dass ich ein paar tage bleibe ."
we have less than two hours until our plane leaves .,"uns bleiben weniger als zwei stunden , bis unser flug geht ."
tom had a terrible childhood .,tom hatte eine schreckliche kindheit .
everyone in my family can ride a unicycle .,in meiner familie können alle einrad fahren .
get out of my life !,verschwinde aus meinem leben !
tom paused for a second .,tom hielt für einen moment inne .
you ' re welcome to come along .,du kannst gerne mitkommen .
tom said he didn ' t feel like going .,"tom sagte , er habe keine lust zu gehen ."
do you really think that your plans are realistic ?,hältst du deine pläne wirklich für realistisch ?
were you able to find the book ?,haben sie das buch finden können ?
how do you think this revolution got under way ?,wie ist diese revolution deiner meinung nach in gang gekommen ?
i owe both you and tom a big thanks .,ich schulde sowohl dir als auch tom ein großes dankeschön .
do you have psychic powers ?,habt ihr übernatürliche kräfte ?
it ' s unusual for you to be early .,"es ist ungewöhnlich , dass du zu früh kommst ."
she has never seen him .,sie hat ihn noch nie gesehen .
participants in a seance try to contact the dead .,die teilnehmer einer seance versuchen kontakt mit verstorbenen aufzunehmen .
tom still does that .,tom macht das immer noch .
i didn ' t know you weren ' t canadian .,"ich wußte nicht , daß ihr keine kanadierinnen seid ."
"after digressing , he returned to the subject .","er schweifte ab , kehrte dann aber zum thema zurück ."
the game warden asked tom for his hunting license .,der wildhüter bat tom um seinen jadgschein .
tom wants to know how long we ' re going to be here .,"tom will wissen , wie lange wir hier sind ."
tom is very afraid of his father .,tom hat große angst vor seinem vater .
my father planted this tree on the day i was born .,"mein vater pflanzte diesen baum an dem tag , an dem ich geboren wurde ."
do you like mozart ?,gefällt dir die musik von mozart ?
you ' re just not trying hard enough .,du strengst dich einfach nicht genügend an .
tom and mary are related to each other .,tom und maria sind miteinander verwandt .
you remind me of a boy i used to know .,"du erinnerst mich an einen jungen , den ich einmal kannte ."
who called me ?,wer hat mich gerufen ?
tom is a slow walker .,tom ist ein gemächlicher fußgänger .
i ' m not always able to brush my teeth after eating .,ich kann mir nicht jedesmal nach dem essen die zähne putzen .
next year will be worse .,das nächste jahr wird schlimmer .
i couldn ' t call you .,ich konnte dich nicht anrufen .
i think it ' s really nice what you ' re doing .,"ich finde es sehr nett , was du tust ."
that ' s accurate enough .,das trifft es genau genug .
is tom sick ?,ist tom krank ?
tom began to sing his favorite song and mary harmonized with him .,"tom fing an , sein lieblingslied zu singen , und maria stimmte mit ein ."
you shouldn ' t eat anything cold .,sie sollten nichts kaltes essen .
scoot over .,rutsch mal .
shouldn ' t you be at work now ?,solltest du jetzt nicht auf der arbeit sein ?
what does your aunt do ?,was macht deine tante ?
are you the winner ?,bist du der gewinner ?
"you didn ' t know we were supposed to do that today , did you ?","sie wußten nicht , daß wir das heute sollten , oder ?"
tom bought a pound of cheese .,tom kaufte ein pfund käse .
the pasture is full of weeds .,die weide ist voller unkraut .
i hear only you .,ich höre nur dich .
when are you free ?,wann hast du zeit ?
i like the changes that you ' ve made .,"die änderungen , die du vorgenommen hast , gefallen mir ."
i thought you said that you were finished doing that .,"ihr sagtet doch , ihr wäret damit fertig ."
how can you tell tom isn ' t happy ?,"wie kommst du darauf , dass tom nicht glücklich wäre ?"
i think you will approve .,"ich denke , du wirst zustimmen ."
approximately of landmine casualties are civilian .,ungefähr der landminenopfer sind zivilpersonen .
get lost !,hau ab !
your children are cute .,eure kinder sind süß .
it became increasingly hard to breathe .,das atmen fiel zunehmend schwerer .
tom is a good listener .,tom kann gut zuhören .
tom anonymously donated a large sum of money to the red cross .,tom spendete eine große summe geldes anonym dem roten kreuz .
i ' ll be in my office if you need me .,"ich bin in meinem büro , falls du mich brauchen solltest ."
you need me here .,du brauchst mich hier .
he has no children .,er hat keine kinder .
you should take a canteen full of water with you .,du solltest eine feldflasche wasser mitnehmen .
it belongs to us .,es gehört zu uns .
this large sofa would be out of place in a small room .,das große sofa wäre in dem kleinen raum fehl am platze .
we ' re having another baby .,wir bekommen noch ein kind .
tom walked towards the elevator .,tom lief auf den aufzug zu .
act as if you ' re working .,"tut so , als würdet ihr arbeiten !"
i already knew this .,das wusste ich schon .
i want to speak with you .,ich möchte mit dir reden .
it ' s an easy victory .,es ist ein leichter sieg .
we should make a backup right away .,wir sollten umgehend eine sicherungskopie anlegen .
he is the very man that we ' ve been looking for .,"er ist genau der mann , den wir gesucht haben ."
do you go to school by train ?,fahren sie mit dem zug zur schule ?
i ' m not interested in science .,ich interessiere mich nicht für die naturwissenschaften .
"suddenly , tom cried out in pain .",plötzlich schrie tom vor schmerz .
what ' s the craziest thing you ' ve done ?,"was ist das verrückteste , was sie getan haben ?"
nobody suspects you of anything .,niemand verdächtigt euch irgend etwas .
are you one of the people that was here yesterday ?,"gehören sie zu denjenigen leuten , die gestern hier gewesen sind ?"
i don ' t like early morning meetings .,ich mag keine frühen morgenzusammenkünfte .
each item was described in painstaking detail .,jeder artikel war äußerst sorgfältig beschrieben .
the candle flickered a few times and then went out .,das kerzenlicht flackerte einige male und erlosch dann .
i want you to fly to boston tomorrow .,"ich möchte , dass du morgen nach boston fliegst ."
the price of my piano lessons includes the use of the piano .,die gebühr für den klavierunterricht beinhaltet die benutzung des klaviers .
tom quickly got on the bus .,tom stieg schnell in den bus .
tom was too tired to speak .,"tom war zu müde , um zu sprechen ."
he is likely to come .,er wird vielleicht kommen .
tom has become my boss .,tom ist jetzt mein chef .
i ' ve been waiting all day for you .,ich warte schon den ganzen tag auf dich .
"you go ahead , tom . i ' ll catch up soon .","geh schon mal voraus , tom ! ich hol dich schon ein ."
i think tom is a charlatan .,ich halte tom für einen scharlatan .
i ' m having a very delicious meal at home .,ich habe ein sehr köstliches essen zu hause .
i gave him a call .,ich rief ihn an .
can i offer you anything ?,darf ich ihnen etwas anbieten ?
i want to be loved by somebody .,"ich will , dass mich jemand liebhat ."
did you write down tom ' s phone number ?,hast du toms telefonnummer aufgeschrieben ?
how much did you pay to get in ?,wieviel eintritt habt ihr bezahlt ?
"if i had enough money , i could buy it .","wenn ich genug geld hätte , dann könnte ich es kaufen ."
"tom has money , but i don ' t .","tom hat geld , ich aber nicht ."
i just can ' t understand you sometimes .,manchmal kann ich euch einfach nicht verstehen .
tom hasn ' t eaten breakfast yet .,tom hat noch nicht gefrühstückt .
what makes you think i want this ?,"was bringt dich auf den gedanken , dass ich das nötig habe ?"
i want to make tom happy .,ich möchte tom glücklich machen .
tom can ' t refuse his grandchildren anything .,tom kann seinen enkelkindern nichts abschlagen .
i am not kidding .,das ist kein witz .
do what your father tells you .,"tu , was dein vater dir sagt !"
i just had a talk with your lawyer .,ich hatte gerade ein gespräch mit deinem anwalt .
everything is finally over .,es ist endlich alles vorbei .
did you pass that class ?,habt ihr diesen kurs bestanden ?
tom chose his words carefully .,tom wählte seine worte mit bedacht .
are you going to stand there all day ?,willst du den ganzen tag da herumstehen ?
that ' s what i like about you .,"das ist es , was ich an dir mag !"
are you already finished ?,sind sie schon fertig ?
we should do away with these old rules .,wir sollten diese alten regeln abschaffen .
what was the title of verdi ' s first opera ?,wie hieß verdis erste oper ?
you can ' t handle it .,du kannst damit nicht umgehen .
tom is very hardworking .,tom ist sehr arbeitsam .
i ' m immediately behind her .,ich bin gleich hinter ihr .
are you sure you just want water ?,"bist du sicher , dass du nur wasser willst ?"
"would you read it aloud , please ?",würdet ihr das bitte vorlesen ?
he has no money .,er hat kein geld .
tom gave mary his number .,tom hat mary seine nummer gegeben .
i think it ' s true .,"ich glaube , es ist wahr ."
i thought you ' d never visit us again .,"ich dachte , ihr würdet uns nie wieder besuchen ."
i ' m escaping .,ich bin dabei zu entkommen .
it seems we ' ve lost our way .,"es scheint , dass wir uns verirrt haben ."
turn the light on . i can ' t see a thing .,mach das licht an . ich kann nichts sehen .
only i could answer the question correctly .,nur ich konnte die frage richtig beantworten .
where ' s your older brother right now ?,wo ist ihr älterer bruder gerade ?
"this is stupid , to say the least .","das ist , gelinde gesagt , bescheuert ."
tom lives across the street .,tom wohnt gegenüber .
he doesn ' t care much for baseball .,er macht sich nicht viel aus baseball .
what did you go to kyoto for ?,zu welchem zweck bist du nach ky to gefahren ?
"after the war , britain had many colonies .",nach dem krieg hatte großbritannien zahlreiche kolonien .
i ' m sure tom will be fascinated by that .,tom wird bestimmt fasziniert davon sein .
perhaps i ' ll never see you again .,vielleicht werde ich sie nie wiedersehen .
"when i told him that , he got furious .","als ich ihm das sagte , wurde er fuchsteufelswild ."
i ' m proud to be your friend .,"ich bin stolz darauf , mit ihnen befreundet zu sein ."
i ' m living my dream .,ich lebe meinen traum .
can someone check this ?,kann das mal jemand überprüfen ?
he showed me his collection of stamps .,er hat mir seine briefmarkensammlung gezeigt .
tom didn ' t write mary back .,tom hat maria nicht zurückgeschrieben .
my scalp is very itchy .,meine kopfhaut juckt .
that won ' t fit in my suitcase .,das wird nicht in meinen koffer passen .
you ' ve really improved .,ihr habt euch wirklich verbessert .
i heard that you talked to tom .,"ich habe gehört , daß ihr mit tom gesprochen hättet ."
"they ' re arguing again , you know .","weißt du , sie streiten sich wieder ."
i ' ve been shot .,man hat mich angeschossen .
i let tom live .,ich ließ tom leben .
what constellations do you know ?,welche sternbilder kennst du ?
i will not see him any more .,ich werde mich nicht mehr mit ihm treffen .
he cannot stop him .,er kann ihn nicht aufhalten .
mary had a little lamb whose fleece was white as snow .,"maria hatte ein kleines lamm , sein fell war weiß wie schnee ."
does anyone really care ?,kümmert das wirklich jemanden ?
your help will save us a lot of work .,eure hilfe wird uns viel arbeit ersparen .
what ' s your younger sister ' s name ?,wie heißt deine jüngere schwester ?
i don ' t think i have the time to help you today .,"ich denke nicht , dass ich heute zeit habe , dir zu helfen ."
i ' ll be back this afternoon .,ich bin heute nachmittag wieder da .
tom changed the baby ' s diapers .,tom wechselte dem kind die windeln .
he needs you .,er braucht dich .
tom and mary are on the verge of breaking up .,tom und maria stehen kurz vor der trennung .
tell me a little bit about yourself .,erzähl mir ein bisschen was über dich !
don ' t take it personally .,nimm es nicht persönlich .
"yes , you ' re right .","ja , ihr habt recht ."
it happened too fast .,es ging zu schnell .
"can i have your autograph , please ?",kann ich bitte ihr autogramm bekommen ?
just stay away from my daughter .,halten sie sich einfach nur von meiner tochter fern !
i think you ' re imagining things .,das bildest du dir wohl ein .
i don ' t know what day it is .,"ich weiß nicht , welcher tag heute ist ."
i will gladly help you .,ich helfe dir gerne .
why didn ' t you take a taxi ?,warum hast du dir kein taxi genommen ?
the child fell out of bed .,das kind fiel aus dem bett .
did you visit the tower of london ?,hast du den tower in london besichtigt ?
tom is an aspiring actor .,tom ist angehender schauspieler .
is there always so much going on here ?,ist hier immer so viel los ?
they paid me a lot of money for the motorcycle .,mir wurde für das motorrad viel geld gezahlt .
the soldiers came to attention and saluted .,die soldaten standen stramm und salutierten .
do you know what tom ' s nickname is ?,kennst du toms spitznamen ?
are you going to try to go back to sleep ?,wollt ihr versuchen weiterzuschlafen ?
the circus will come to town tomorrow .,morgen kommt der zirkus in die stadt .
she has a cold .,sie ist erkältet .
stay close .,bleib in der nähe .
i knew that tom wouldn ' t come back .,"ich habe gewußt , daß tom nicht wiederkommen würde ."
do you have school on saturdays ?,hast du sonnabends schule ?
you have to come home .,ihr müßt nach hause kommen .
mt . fuji is known to everyone .,den fuji kennt jeder .
did you remember to pack your toothbrush ?,"hast du drangedacht , deine zahnbürste einzupacken ?"
i know you ' re still not satisfied .,"ich weiß , daß sie noch immer nicht zufrieden sind ."
you ' re not the only one who thinks so .,"sie sind nicht die einzige , die so denkt ."
i ' m not sure that i trust you anymore .,"ich bin mir nicht sicher , ob ich ihnen noch vertraue ."
please don ' t smoke .,bitte rauche nicht .
you dropped your handkerchief .,du hast dein taschentuch fallen lassen .
i am counting on you .,ich zähle auf dich .
no one knows what has become of her .,"niemand weiß , was aus ihr geworden ist ."
tom walked past mary ' s car without realizing it .,"tom ging an marias auto vorbei , ohne es zu bemerken ."
i want to know who started it .,"ich will wissen , wer damit angefangen hat ."
tom sometimes makes dinner for us .,manchmal macht tom uns abendessen .
i convinced him that he was wrong .,"ich habe ihn überzeugt , dass er falschlag ."
i ' ll do whatever you tell me to do .,"ich werde alles tun , was ihr mir sagt ."
"i ' m going to get you , tom .","ich werde dich holen , tom ."
where did you send it ?,wohin habt ihr es geschickt ?
this vicious circle must be broken .,dieser teufelskreis muss gebrochen werden .
"if you can ' t beat them , join them .","wenn du sie nicht besiegen kannst , schließe dich ihnen an ."
he did it for fun .,er machte es zum spaß .
smoking is prohibited in all public buildings .,rauchen ist in allen öffentlichen gebäuden verboten .
have you spoken to tom recently ?,habt ihr in letzter zeit mit tom geredet ?
i think this has something to do with tom .,"ich glaube , das hat etwas mit tom zu tun ."
"if you change your mind , let us know .","gib uns bescheid , wenn du dir ' s anders überlegst ."
there ' s something about tom that i don ' t like .,"tom hat etwas an sich , das ich nicht mag ."
the movie ' s starting .,der film beginnt .
everyone tells you that .,das sagen dir alle .
do whatever you want . i don ' t care .,"tut , was ihr wollt ! es ist mir egal ."
anywhere with a bed will do .,"alles , wo ein bett steht , ist in ordnung !"
i was starting to think that you ' d forgotten about me .,"ich dachte schon , du hättest mich vergessen ."
i ' m sure that ' s not necessary .,das ist sicherlich nicht nötig .
are we done yet ?,sind wir schon fertig ?
tom is a bit on the heavy side .,tom ist leicht übergewichtig .
how long will you be in boston ?,wie lange bleibst du in boston ?
tom was always available when you needed him .,"tom war immer zur stelle , wenn man ihn brauchte ."
tom has been busy since this morning .,tom ist schon seit heute morgen beschäftigt .
here ' s the house where he lived .,"hier ist das haus , in dem er gelebt hat ."
i ' m going to take a quick break .,ich mache kurz pause .
i try .,ich versuche es .
i forgot to say that i can ' t come .,"ich habe vergessen zu sagen , dass ich nicht kommen kann ."
tom didn ' t want mary to leave .,"tom wollte nicht , dass mary geht ."
tom is paying attention to his budget .,tom achtet auf seine finanzen .
tom went mad .,tom schnappte über .
the heat of the sun hardens clay .,die hitze der sonne härtet den ton .
tom and mary have been in boston for three years .,tom und maria sind schon seit drei jahren in boston .
tom must ' ve paid a fortune for it .,tom muss ein vermögen dafür bezahlt haben .
"i wish i could tell you the reason , but i can ' t .","ich wünschte , ich könnte dir den grund sagen , aber ich kann nicht ."
how did you spend your holiday ?,wie hast du deine ferien verbracht ?
nobody thinks you ' re a coward .,es hält dich niemand für feige .
tom tried to get mary to do his chores .,tom wollte maria seine hausarbeit aufdrücken .
you were tricked .,ihr seid reingelegt worden .
this old house is haunted .,in diesem alten haus hier spukt es .
how did you get that nickname ?,wie bist du denn zu dem spitznamen gekommen ?
please clean out your locker .,räumen sie bitte ihren spind aus !
tom said he didn ' t want to help mary .,"tom sagte , er wolle mary nicht helfen ."
am i still welcome here ?,bin ich hier noch gerne gesehen ?
there ' s a bus stop there .,da ist eine bushaltestelle .
would you please write with a ballpoint pen ?,würdest du bitte mit einem kugelschreiber schreiben ?
tom is wearing a wetsuit .,tom trägt einen nassanzug .
i wish i had helped tom at that time .,"ich wünschte , ich hätte tom damals geholfen ."
you can ' t deny that ' s happening .,"ihr könnt nicht bestreiten , daß das passiert ."
men rarely talk about their problems .,männer reden selten über ihre probleme .
where are you hurt ?,wo sind sie verletzt ?
i ' d like to become a lawyer .,ich möchte rechtsanwältin werden .
we used to be neighbors .,wir waren früher nachbarn .
tom is touchy .,tom ist empfindlich .
i had no idea you were planning on going to australia .,"ich hatte keine ahnung , daß du nach australien wolltest ."
do you eat a lot of seafood ?,eßt ihr viele meeresfrüchte ?
what ' s your favorite lipstick color ?,welche lippenstiftfarbe gefällt dir am besten ?
tom ordered a pizza .,tom bestellte eine pizza .
i ' ll be with you in a minute .,ich bin in einer minute bei ihnen .
tom must ' ve misunderstood .,tom muß das falsch verstanden haben .
did you enjoy that ?,hat ihnen das freude gemacht ?
do you want to look at it ?,wollen sie es sich ansehen ?
i lit the candles .,ich zündete die kerzen an .
did you talk to anybody ?,habt ihr mit jemandem gesprochen ?
today i came to work by car .,heute bin ich mit dem auto zur arbeit gekommen .
i have known tom since i was a little boy .,ich kenne tom schon seit ich ein kleiner junge war .
i wonder if i should offer tom some money .,"ich frage mich , ob ich tom geld anbieten sollte ."
i ' ll get you for this .,für das werd ich dich schon kriegen .
i ' ll leave when she comes back .,"ich werde gehen , wenn sie wiederkommt ."
i prefer black .,mir ist schwarz lieber .
tom took the scissors away from mary .,tom nahm mary die schere weg .
that ' s just as bad .,das ist genauso schlimm .
i don ' t think that i want to study french anymore .,"irgendwie habe ich keine lust mehr , französisch zu lernen ."
we need to get our priorities right .,wir müssen unsere prioritäten richtig setzen .
i wouldn ' t want to get caught up in a situation like that .,in eine solche situation wollte ich nicht geraten .
